Item;Français;Espagnol;Anglais;Portugais;Allemand
accordionControlElement_Home_Hunt;Chasse au trésor;;;;
accordionControlElement_Home_Hunt_HuntAuto;Automatique;;;;
accordionControlElement_Home_Hunt_Hunt;Manuel;;;;
accordionControlElement_Home_Config;Configurations;;;;
accordionControlElement_Home_Config_Soft;Logiciel;;;;
accordionControlElement_Home_Config_HuntAuto;Chasse automatique;;;;
accordionControlElement_Home_Config_Corrected;Correction d'indice;;;;
accordionControlElement_Home_Config_Notify;Notifications;;;;
accordionControlElement_Home_Config_Update;Mise à jour;;;;
accordionControlElement_Home_Config_Debug;Debug;;;;
accordionControlElement_Home_Config_Donate;Donation;;;;
labelControl_Home_Home_Hello;Bonjour {Pseudo};;;;
labelControl_Home_Home_Version;Version : {x.x.x};;;;
progressPanel_Home_Init_Loading [Description];Initialisation du logiciel ...;;;;
progressPanel_Home_Init_Loading [Caption];Chargement;;;;
xtraTabPage_Home_Notify_App;Application;;;;
xtraTabPage_Home_Notify_Hunt;Chasse au trésor;;;;
xtraTabPage_Home_Notify_Indices;Indices;;;;
labelControl_Home_Notify_App_Update;Mise à jour disponible :;;;;
labelControl_Home_Notify_App_NoCo;Problème de connexion :;;;;
labelControl_Home_Notify_App_PbData;Problème de récupération des données :;;;;
labelControl_Home_Notify_App_Reboot;Redémarrage nécessaire :;;;;
labelControl_Home_Notify_Hunt_NoData;Aucune donnée :;;;;
labelControl_Home_Notify_Indices_OK;Indice correct : ;;;;
labelControl_Home_Notify_Indices_KO;Indice incorrect : ;;;;
labelControl_Home_Notify_Indices_Phorreur;Phorreur :;;;;
labelControl_Home_Notify_Indices_Corrected;Correction d'indice :;;;;
simpleButton_Home_Notify_Reset;Réinitialiser;;;;
simpleButton_Home_Notify_Save;Sauvegarder;;;;
Notify_App_Update;Une mise à jour est disponible !;;;;
Notify_App_Connect;Problème de connexion, vérifier votre connexion ou réessayer plus tard.;;;;
Notify_App_GetData;Erreur lors de la récupération des données.;;;;
Notify_App_Restart;Redémarrage de l'application nécessaire.;;;;
Notify_Hunt_NoData;Aucune données trouvée à la position.;;;;
Notify_Indice_OK;Merci de vous rendre à la position pour continuer.;;;;
Notify_Indice_KO;Erreur lors de la récupération de la position de l'indice ...\nPeut être vérifier l'indice détecté et faire une correction manuelle.;;;;
Notify_Indice_Phorreur;L'indice en cours semble être un Phorreur, pourquoi ne pas le faire manuellement ?;;;;
Notify_Indice_Correct;Correction d'indice ajoutée avec succès.;;;;
labelControl_Home_Config_Opacity;Opacité :;;;;
checkEdit_Home_Config_AlwaysOnScreen;Toujours à l'écran;;;;
checkEdit_Home_Config_Skin;Thème sombre;;;;
checkEdit_Home_Config_LogAdvanced;Logs avancés;;;;
checkEdit_Home_Config_DeleteFiles;Supprimer les fichiers de traitement;;;;
checkEdit_Home_Config_DeleteLogs;Supprimer les logs au bout de 3 jours;;;;
checkEdit_Home_Config_Notify;Autoriser les notifications d'application;;;;
checkEdit_Home_Config_UpdateDHU;Mettre à jour automatiquement Dofus Hunt Update;;;;
checkEdit_Home_Config_UpdateXML;Mettre à jour automatique la correction d'indice;;;;
checkEdit_Home_Config_BetaMode;Mise à jour BETA;;;;
xtraTabPage_Settings_HuntAuto_General;Général;;;;
xtraTabPage_Settings_HuntAuto_Position;Position;;;;
xtraTabPage_Settings_HuntAuto_Indices;Indice;;;;
xtraTabPage_Settings_HuntAuto_Templates;Template d'image;;;;
checkEdit_Settings_HuntAuto_GoogleVision;Utiliser Google Vision;;;;
checkEdit_Settings_HuntAuto_Offline;"Mode "" Hors Ligne """;;;;
labelControl_Settings_HuntAuto_Detection;Seuil de détection (%) :;;;;
checkEdit_Settings_HuntAuto_Debug;Mode Debug;;;;
simpleButton_Settings_HuntAuto_Calibrage;Calibrer automatiquement;;;;
simpleButton_AnalyseData;Analyser les données;;;;
groupControl_Calibre_Map;Map actuelle;;;;
labelControl_Calibre_Largeur;Largeur de détection :;;;;
labelControl_Calibre_Seuil;Seuil :;;;;
simpleButton_Calibre_Screen;Prendre la capture d'écran;;;;
groupControl_Calibre_Result;Résultats;;;;
labelControl_Calibre_Resultat_X;[Position] X : ;;;;
labelControl_Calibre_Resultat_Y;[Position] Y : ;;;;
labelControl_Settings_HuntAuto_Position_Xscreen;Point X de la capture d'écran :;;;;
labelControl_Settings_HuntAuto_Position_Yscreen;Point Y de la capture d'écran :;;;;
labelControl_Settings_HuntAuto_Position_Hauteurscreen;Hauteur de la capture d'écran :;;;;
labelControl_Settings_HuntAuto_Position_Largeurscreen;Largeur de la capture d'écran :;;;;
labelControl_Settings_HuntAuto_Position_OCRPos;Seuil OCR :;;;;
labelControl_Settings_HuntAuto_Position_Hauteurscreen;Hauteur de la capture d'écran :;;;;
labelControl_Settings_HuntAuto_Position_Largeurredim;Largeur de la mise à l'échelle :;;;;
simpleButton_Apply;Appliquer les données;;;;
simpleButton_Settings_HuntAuto_Position_Save;Sauvegarder;;;;
labelControl_Settings_HuntAuto_Indice_OCRStart;"Seuil OCR "" Départ "" :";;;;
labelControl_Settings_HuntAuto_Indice_Largeurstart;"Largeur "" Départ "" :";;;;
labelControl_Settings_HuntAuto_Indice_Hauteurstart;"Hauteur "" Départ "" :";;;;
labelControl_Settings_HuntAuto_Indice_OCRcoche;"Seuil OCR "" Coche "" :";;;;
labelControl_Settings_HuntAuto_Indice_OCRCochechecked;"Seuil OCR "" Coche validée "" :";;;;
labelControl_Settings_HuntAuto_Indice_LargeurIndice;"Largeur "" Indice "" :";;;;
labelControl_Settings_HuntAuto_Indice_Hauteurindice;"Hauteur "" Indice "" : ";;;;
labelControl_Settings_HuntAuto_Indice_OCRarrow;"Seuil OCR "" Flèches "" :";;;;
labelControl_Settings_HuntAuto_Indice_OCRcbt;"Seuil OCR "" Combat "" :";;;;
simpleButton_Settings_HuntAuto_Indice_Save;Sauvegarder;;;;
groupControl_Settings_HuntAuto_Img_Coches;Coches;;;;
groupControl_Settings_HuntAuto_Img_Arrow;Flèches;;;;
groupControl_Settings_HuntAuto_Img_Start;Départ;;;;
groupControl_Settings_HuntAuto_Img_Cbt;Combat;;;;
groupControl_Settings_HuntAuto_Img_Level;Niveau;;;;
simpleButton_hunt_img_reset;Rénitialiser;;;;
IndiceIncorrect;Indice Incorrect;;;;
IndiceCorrect;Indice Correct;;;;
labelControl_Indice_Incorrect;Indice incorrect :;;;;
labelControl_Indice_Correct;Indice correct :;;;;
simpleButton_Indices_Add;Ajouter;;;;
checkEdit_HuntAuto_Travel;Copier la commande d'autopilote;;;;
checkEdit_HuntAuto_Reduct;Mode réduit;;;;
simpleButton_HuntAuto_Start;Lancement;;;;
simpleButton_HuntAuto_Stop;Arrêt;;;;
checkEdit_HuntAuto_Start;Lancement de chasse;;;;
labelControl_HuntAuto_Start;Départ [X, Y];;;;
labelControl_Pos_Erreur;La position de la carte n'a pas pu être récupérée.;;;;
simpleButton_Pos_Save;Sauvegarder;;;;
simpleButton_Pos_Annulation;Annuler;;;;
labelControl_Donation_Text;"Dofus Hunt vous est proposé gratuitement.
Cependant, si vous souhaitez soutenir le projet, 
vous avez la possibilité de faire un don via les plateformes suivantes.

Merci pour votre soutien !";;;;
labelControl_Donation;Donation;;;;
checkEdit_Settings_HuntAuto_SearchZaap;Rechercher le zaap le plus proche de l'indice;;;;
checkEdit_Hunt_Travel;Copier la commande d'autopilote;;;;
